,Name,price,category,source
31,"Razer Kraken X Ultralight Gaming Headset: 7.1 Surround Sound - Lightweight Aluminum Frame - Bendable Cardioid Microphone - for PC, PS4, PS5, Switch, Xbox One, Xbox Series X|S, Mobile - Black/Blue",2999.0,gaming headset,amazon
32,"ZEBRONICS Jet Premium Gaming Headphone with LED Light for earcups, 40mm Neodymium Drivers, 2 Meter Braided Cable, Flexible mic, Suspension Headband, 3.5mm + USB Connector & in-line Controller",849.0,gaming headset,amazon
33,"HyperX Cloud Core  On-Ear Wired Gaming Headset with Mic for PC, DTS Headpone:X (Black)",5790.0,gaming headset,amazon
34,"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)",734.0,gaming headset,amazon
35,"Vibez by Lifelong Gaming Earphones with External Mic| In-Ear Gaming Wired Headphones| Gaming Headset|Gaming Earphone with Detachable Microphone for PC, PS4, Mobiles, Tablets (VBGE01 Quest ,1 Year Warranty, Black)",723.0,gaming headset,amazon
36,"Redragon H120 Wired Over-Ear Gaming Headset with Microphone and Volume Control for Mobiles/Smart Devices, PC and PS4 (Black)",499.0,gaming headset,amazon
37,"Ant Esports H650 HD RGB LED Gaming Headset for PC/ PS5 / PS4 / Xbox One/Nintendo Switch, Mac, Noise Cancelling Over-Ear Headphones with Mic",531.36,gaming headset,amazon
38,"Cosmic Byte Stardust Wired On Ear Headphones with Mic Flexible for PS4, Xbox One, Laptop, PC, iPhone and Android Phones (Black,Blue)",649.0,gaming headset,amazon
39,Nacon official Sony licensed gaming headset for PS4 and PC,799.0,gaming headset,amazon
40,"Cosmic Byte GS430 Gaming Headphone, 7 Color RGB LED and Microphone for PC, PS5, Xbox, Mobiles, Tablets, Laptops (Red)",729.0,gaming headset,amazon
41,"Corsair HS80 RGB USB Premium Gaming Headset with Dolby Audio 7.1 Surround Sound (Broadcast-Grade Omni-Directional Microphone, Memory Foam Earpads, High-Fidelity Sound, Durable Construction) Carbon",9499.0,gaming headset,amazon
42,"ZEBRONICS Crusher USB Gaming Headphone with Advanced Software, 7.1 Simulated Surround Sound, RGB LED, Powerful Bass, 2 Meter Braided Cable, 50mm Neodymium Drivers, for Computer and Laptop (White)",1599.0,gaming headset,amazon
43,"ZEBRONICS Zeb-Blitz USB Gaming Wired On Ear Headphones with Mic with Dolby Atmos, RGB Led, Windows Software, Simulated 7.1 Surround Sound, 2.4 Meter Braided Cable Flexible Padded Ear Cushions(Black)",1999.0,gaming headset,amazon
44,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",249.0,mouse,amazon
45,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",569.0,mouse,amazon
46,"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.",299.0,mouse,amazon
47,"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces (H2C21AA, Black/Grey)",240.0,mouse,amazon
48,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",569.0,mouse,amazon
49,Zebronics Zeb-Transformer-M Optical USB Gaming Mouse with LED Effect(Black),399.0,mouse,amazon
50,"ZEBRONICS Zeb-Dash Plus 2.4GHz High Precision Wireless Mouse with up to 1600 DPI, Power Saving Mode, Nano Receiver and Plug & Play Usage - USB",299.0,mouse,amazon
51,"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",129.0,mouse,amazon
52,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",249.0,mouse,amazon
53,"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",230.0,mouse,amazon
54,"Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop",499.0,mouse,amazon
55,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",799.0,mouse,amazon
56,"Ant Esports GM40 Wired Optical Gaming Mouse with RGB LED, Lightweight and Ergonomic Design, DPI Upto 2400, Compatible with Windows and Mac",179.0,mouse,amazon
57,Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons,139.0,mouse,amazon
58,"Quantum USB Wired Mouse, 1200 DPI Optical Sensor, Plug & Play Ergonomic Mouse for Comfortable All-Day Grip with 3-Button Design and clickable Scroll Wheel, USB 2.0 Mice for PC/ Laptop, QHM251H (Black)",149.0,mouse,amazon
59,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",299.0,mouse,amazon
60,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Charcoal Grey",699.0,mouse,amazon
61,"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)",289.0,mouse,amazon
62,"ZEBRONICS Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Black+Grey)",399.0,mouse,amazon
63,"HP M270 Backlit USB Wired Gaming Mouse with 6 Buttons, 4-Speed Customizable 2400 DPI, Ergonomic Design, Breathing LED Lighting, Metal Scroll Wheel, Lightweighted / 3 Years Warranty (7ZZ87AA), Black",599.0,mouse,amazon
64,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Charcoal Grey",699.0,mouse,amazon
65,"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.",299.0,mouse,amazon
66,Crucial RAM 16GB DDR5 4800MHz CL40 Desktop Memory CT16G48C40U5,6099.0,ram,amazon
